what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1288181710461
locale,sysinfo,,,"pt_BR",1288181710461
processors,sysinfo,,,"2",1288181710461
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288181710461
java.runtime.version,sysinfo,,,"1.6.0-b105",1288181710461
java.specification.name,sysinfo,,,"Java Platform API Specification",1288181710461
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288181710461
java.specification.version,sysinfo,,,"1.6",1288181710461
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288181710461
java.version,sysinfo,,,"1.6.0",1288181710461
java.vm.info,sysinfo,,,"mixed mode",1288181710461
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288181710461
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288181710461
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288181710461
java.vm.specification.version,sysinfo,,,"1.0",1288181710461
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288181710461
java.vm.version,sysinfo,,,"1.6.0-b105",1288181710461
started,bundle,org.eclipse.cdt.make.core,6.0.0.200906161748,"org.eclipse.cdt.make.core",1288181710477
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1288181714758
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1288181715133
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288181715165
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288181715243
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1288181715258
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288181715305
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1288181715321
