what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182619068
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182620318
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182621818
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288182622552
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1288182633677
closed,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288182633677
opened,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1288182635490
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1288182635505
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1288182636115
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288182637084
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288182638068
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288182638068
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288182638084
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182638099
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182638224
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1288182639240
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182641271
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182642834
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182650068
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182650974
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182651037
stopped,bundle,ch.epfl.lamp.sdt.core,2.7.5.final,"ch.epfl.lamp.sdt.core",1288182651990
stopped,bundle,ch.epfl.lamp.sdt.aspects,2.7.5.final,"ch.epfl.lamp.sdt.aspects",1288182651990
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1288182651990
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1288182651990
