what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0-b105",1288182687568
java.specification.name,sysinfo,,,"Java Platform API Specification",1288182687568
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288182687568
java.specification.version,sysinfo,,,"1.6",1288182687568
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288182687568
java.version,sysinfo,,,"1.6.0",1288182687568
java.vm.info,sysinfo,,,"mixed mode",1288182687568
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288182687568
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288182687568
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288182687568
java.vm.specification.version,sysinfo,,,"1.0",1288182687568
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288182687568
java.vm.version,sysinfo,,,"1.6.0-b105",1288182687568
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1288182687615
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1288182687615
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1288182687615
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1288182687630
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1288182687630
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1288182687630
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1288182687677
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1288182743662
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1288182747380
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288182748302
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182754693
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182764959
