what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288181715368
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1288181789633
started,bundle,ch.epfl.lamp.sdt.aspects,2.7.5.final,"ch.epfl.lamp.sdt.aspects",1288181789727
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288181790383
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1288181791680
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1288181791695
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200906161748,"org.eclipse.cdt.debug.core",1288181792023
started,bundle,org.eclipse.cdt.launch,6.0.0.200906161748,"org.eclipse.cdt.launch",1288181792023
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1288181795023
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1288181795023
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181797789
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181800976
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181803383
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181808867
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181813445
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181836914
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.ui",1288181839257
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288181839257
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288181853117
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181854367
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181857304
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181858023
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181925835
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1288182141646
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1288182142490
