what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288182142584
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1288182144021
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1288182144021
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288182188177
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182191068
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182192193
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182195380
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182196287
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182199990
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182201021
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288182202459
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288182206896
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1288182212021
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288182213115
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1288182587005
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288182587693
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.text.c.format",1288182589302
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288182589365
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182594052
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182595271
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182602318
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182603209
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1288182611865
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1288182611880
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288182614834
