what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288183238255
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183315130
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183316146
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1288183342147
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183345256
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183348647
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200906161748,"org.eclipse.cdt.managedbuilder.ui",1288183350694
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183350882
started,bundle,org.eclipse.jst.servlet.ui,1.1.300.v200902191739,"org.eclipse.jst.servlet.ui",1288183362413
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183362444
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1288183363851
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1288183368070
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1288183368070
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1288183368195
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183372570
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183375820
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288183376835
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183379976
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288183384367
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288183384445
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288183384492
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1288183388945
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1288183390617
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1288183393102
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1288183397946
