what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288180876171
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288180879406
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288180881702
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288180884656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288180894484
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.text.c.format",1288180895296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288180931015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288180972171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288180972406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288180982702
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288180985702
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181216984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181217515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181259906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181287108
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181668493
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181668587
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181669852
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1288181669884
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288181669884
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181670727
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181671524
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288181671587
error,log,,,"Problems saving workspace",1288181674337
stopped,bundle,ch.epfl.lamp.sdt.core,2.7.5.final,"ch.epfl.lamp.sdt.core",1288181674430
